Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Tipo Agregado;Valor m2
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;Apartamento;42.5
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;Casa;70.0
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;Apartamento;53.333333333333336
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;Apartamento;16.666666666666668
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;Apartamento;26.0
Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0;Casa;29.333333333333332
Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;Casa;15.384615384615385
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;Apartamento;21.428571428571427
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;Apartamento;16.666666666666668
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;Apartamento;50.0
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;Apartamento;66.66666666666667
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;Apartamento;53.49794238683128
Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0;Casa;17.391304347826086
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;Apartamento;17.59259259259259
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;Apartamento;25.37313432835821
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;Apartamento;17.272727272727273
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;Casa;16.09442060085837
Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;Apartamento;14.705882352941176
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;Apartamento;25.641025641025642
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;Apartamento;56.0
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;Apartamento;15.625
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;Apartamento;24.0
Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;Casa;30.0
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;Apartamento;32.89473684210526
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;Apartamento;26.455026455026456
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;Apartamento;30.555555555555557
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;Apartamento;21.904761904761905
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;Apartamento;35.45454545454545
Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;Apartamento;48.148148148148145
